"IDX","IDX_DATETIME","ITEMCODE","LOCATION","VALUE_1"
"154","2021-01-06 13:00:00","PM10","1126000000","26"
"155","2021-01-06 13:00:00","PM10","1126052000","26"
"156","2021-01-06 13:00:00","PM10","1126054000","26"
"157","2021-01-06 13:00:00","PM10","1126055000","26"
"158","2021-01-06 13:00:00","PM10","1126056500","26"
"159","2021-01-06 13:00:00","PM10","1126057000","26"
"160","2021-01-06 13:00:00","PM10","1126057500","26"
"161","2021-01-06 13:00:00","PM10","1126058000","26"
"162","2021-01-06 13:00:00","PM10","1126059000","26"
"163","2021-01-06 13:00:00","PM10","1126060000","26"
"164","2021-01-06 13:00:00","PM10","1126061000","26"
"165","2021-01-06 13:00:00","PM10","1126062000","26"
"166","2021-01-06 13:00:00","PM10","1126063000","26"
"167","2021-01-06 13:00:00","PM10","1126065500","26"
"168","2021-01-06 13:00:00","PM10","1126066000","26"
"169","2021-01-06 13:00:00","PM10","1126068000","26"
"170","2021-01-06 13:00:00","PM10","1126069000","26"
"171","2021-01-06 13:00:00","PM10","1123000000","23"
"172","2021-01-06 13:00:00","PM10","1123053600","23"
"173","2021-01-06 13:00:00","PM10","1123054500","23"
"174","2021-01-06 13:00:00","PM10","1123056000","23"
"175","2021-01-06 13:00:00","PM10","1123057000","23"
"176","2021-01-06 13:00:00","PM10","1123060000","23"
"177","2021-01-06 13:00:00","PM10","1123061000","23"
"178","2021-01-06 13:00:00","PM10","1123065000","23"
"179","2021-01-06 13:00:00","PM10","1123066000","23"
"180","2021-01-06 13:00:00","PM10","1123070500","23"
"181","2021-01-06 13:00:00","PM10","1123071000","23"
"182","2021-01-06 13:00:00","PM10","1123072000","23"
"183","2021-01-06 13:00:00","PM10","1123073000","23"
"184","2021-01-06 13:00:00","PM10","1123074000","23"
"185","2021-01-06 13:00:00","PM10","1123075000","23"
"186","2021-01-06 13:00:00","PM10","1129000000","0"
"187","2021-01-06 13:00:00","PM10","1129052500","0"
"188","2021-01-06 13:00:00","PM10","1129055500","0"
"189","2021-01-06 13:00:00","PM10","1129057500","0"
"190","2021-01-06 13:00:00","PM10","1129058000","0"
"191","2021-01-06 13:00:00","PM10","1129059000","0"
"192","2021-01-06 13:00:00","PM10","1129060000","0"
"193","2021-01-06 13:00:00","PM10","1129061000","0"
"194","2021-01-06 13:00:00","PM10","1129062000","0"
"195","2021-01-06 13:00:00","PM10","1129063000","0"
"196","2021-01-06 13:00:00","PM10","1129064000","0"
"197","2021-01-06 13:00:00","PM10","1129065000","0"
"198","2021-01-06 13:00:00","PM10","1129066000","0"
"199","2021-01-06 13:00:00","PM10","1129068500","0"
"200","2021-01-06 13:00:00","PM10","1129070500","0"
"201","2021-01-06 13:00:00","PM10","1129071500","0"
"202","2021-01-06 13:00:00","PM10","1129072500","0"
"203","2021-01-06 13:00:00","PM10","1129076000","0"
"204","2021-01-06 13:00:00","PM10","1129077000","0"
"205","2021-01-06 13:00:00","PM10","1129078000","0"
"206","2021-01-06 13:00:00","PM10","1129081000","0"
"207","2021-01-06 13:00:00","PM10","1132000000","12"
"208","2021-01-06 13:00:00","PM10","1132051100","12"
"209","2021-01-06 13:00:00","PM10","1132051200","12"
"210","2021-01-06 13:00:00","PM10","1132051300","12"
"211","2021-01-06 13:00:00","PM10","1132051400","12"
"212","2021-01-06 13:00:00","PM10","1132051500","12"
"213","2021-01-06 13:00:00","PM10","1132052100","12"
"214","2021-01-06 13:00:00","PM10","1132052200","12"
"215","2021-01-06 13:00:00","PM10","1132066000","12"
"216","2021-01-06 13:00:00","PM10","1132067000","12"
"217","2021-01-06 13:00:00","PM10","1132068000","12"
"218","2021-01-06 13:00:00","PM10","1132068100","12"
"219","2021-01-06 13:00:00","PM10","1132069000","12"
"220","2021-01-06 13:00:00","PM10","1132070000","12"
"221","2021-01-06 13:00:00","PM10","1132071000","12"
"222","2021-01-06 13:00:00","PM10","1138000000","19"
"223","2021-01-06 13:00:00","PM10","1138051000","19"
"224","2021-01-06 13:00:00","PM10","1138052000","19"
"225","2021-01-06 13:00:00","PM10","1138053000","19"
"226","2021-01-06 13:00:00","PM10","1138055100","19"
"227","2021-01-06 13:00:00","PM10","1138055200","19"
"228","2021-01-06 13:00:00","PM10","1138056000","19"
"229","2021-01-06 13:00:00","PM10","1138057000","19"
"230","2021-01-06 13:00:00","PM10","1138058000","19"
"231","2021-01-06 13:00:00","PM10","1138059000","19"
"232","2021-01-06 13:00:00","PM10","1138060000","19"
"233","2021-01-06 13:00:00","PM10","1138062500","19"
"234","2021-01-06 13:00:00","PM10","1138063100","19"
"235","2021-01-06 13:00:00","PM10","1138063200","19"
"236","2021-01-06 13:00:00","PM10","1138064000","19"
"237","2021-01-06 13:00:00","PM10","1138065000","19"
"238","2021-01-06 13:00:00","PM10","1138069000","19"
"239","2021-01-06 13:00:00","PM10","1141000000","16"
"240","2021-01-06 13:00:00","PM10","1141052000","16"
"241","2021-01-06 13:00:00","PM10","1141055500","16"
"242","2021-01-06 13:00:00","PM10","1141056500","16"
"243","2021-01-06 13:00:00","PM10","1141058500","16"
"244","2021-01-06 13:00:00","PM10","1141061500","16"
"245","2021-01-06 13:00:00","PM10","1141062000","16"
"246","2021-01-06 13:00:00","PM10","1141064000","16"
"247","2021-01-06 13:00:00","PM10","1141065500","16"
"248","2021-01-06 13:00:00","PM10","1141066000","16"
"249","2021-01-06 13:00:00","PM10","1141068500","16"
"250","2021-01-06 13:00:00","PM10","1141069000","16"
"251","2021-01-06 13:00:00","PM10","1141070000","16"
"252","2021-01-06 13:00:00","PM10","1141071000","16"
"253","2021-01-06 13:00:00","PM10","1141072000","16"
"254","2021-01-06 13:00:00","PM10","1144000000","32"
"255","2021-01-06 13:00:00","PM10","1144055500","32"
"256","2021-01-06 13:00:00","PM10","1144056500","32"
"257","2021-01-06 13:00:00","PM10","1144058500","32"
"258","2021-01-06 13:00:00","PM10","1144059000","32"
"259","2021-01-06 13:00:00","PM10","1144060000","32"
"260","2021-01-06 13:00:00","PM10","1144061000","32"
"261","2021-01-06 13:00:00","PM10","1144063000","32"
"262","2021-01-06 13:00:00","PM10","1144065500","32"
"263","2021-01-06 13:00:00","PM10","1144066000","32"
"264","2021-01-06 13:00:00","PM10","1144068000","32"
"265","2021-01-06 13:00:00","PM10","1144069000","32"
"266","2021-01-06 13:00:00","PM10","1144070000","32"
"267","2021-01-06 13:00:00","PM10","1144071000","32"
"268","2021-01-06 13:00:00","PM10","1144072000","32"
"269","2021-01-06 13:00:00","PM10","1144073000","32"
"270","2021-01-06 13:00:00","PM10","1144074000","32"
"271","2021-01-06 13:00:00","PM10","1150000000","22"
"272","2021-01-06 13:00:00","PM10","1150051000","22"
"273","2021-01-06 13:00:00","PM10","1150052000","22"
"274","2021-01-06 13:00:00","PM10","1150053000","22"
"275","2021-01-06 13:00:00","PM10","1150053500","22"
"276","2021-01-06 13:00:00","PM10","1150054000","22"
"277","2021-01-06 13:00:00","PM10","1150055000","22"
"278","2021-01-06 13:00:00","PM10","1150056000","22"
"279","2021-01-06 13:00:00","PM10","1150057000","22"
"280","2021-01-06 13:00:00","PM10","1150059000","22"
"281","2021-01-06 13:00:00","PM10","1150059100","22"
"282","2021-01-06 13:00:00","PM10","1150059300","22"
"283","2021-01-06 13:00:00","PM10","1150060300","22"
"284","2021-01-06 13:00:00","PM10","1150060400","22"
"285","2021-01-06 13:00:00","PM10","1150060500","22"
"286","2021-01-06 13:00:00","PM10","1150061100","22"
"287","2021-01-06 13:00:00","PM10","1150061500","22"
"288","2021-01-06 13:00:00","PM10","1150062000","22"
"289","2021-01-06 13:00:00","PM10","1150063000","22"
"290","2021-01-06 13:00:00","PM10","1150064000","22"
"291","2021-01-06 13:00:00","PM10","1150064100","22"
"292","2021-01-06 13:00:00","PM10","2644000000","22"
"293","2021-01-06 13:00:00","PM10","2644051000","22"
"294","2021-01-06 13:00:00","PM10","2644052000","22"
"295","2021-01-06 13:00:00","PM10","2644053000","22"
"296","2021-01-06 13:00:00","PM10","2644053500","22"
"297","2021-01-06 13:00:00","PM10","2644054500","22"
"298","2021-01-06 13:00:00","PM10","2644055000","22"
"299","2021-01-06 13:00:00","PM10","2644056000","22"
"300","2021-01-06 13:00:00","PM10","2644058000","22"
"301","2021-01-06 13:00:00","PM10","1153000000","0"
"302","2021-01-06 13:00:00","PM10","1153051000","0"
"303","2021-01-06 13:00:00","PM10","1153052000","0"
"304","2021-01-06 13:00:00","PM10","1153053000","0"
"305","2021-01-06 13:00:00","PM10","1153054000","0"
"306","2021-01-06 13:00:00","PM10","1153055000","0"
"307","2021-01-06 13:00:00","PM10","1153056000","0"
"308","2021-01-06 13:00:00","PM10","1153059500","0"
"309","2021-01-06 13:00:00","PM10","1153072000","0"
"310","2021-01-06 13:00:00","PM10","1153073000","0"
"311","2021-01-06 13:00:00","PM10","1153074000","0"
"312","2021-01-06 13:00:00","PM10","1153075000","0"
"313","2021-01-06 13:00:00","PM10","1153076000","0"
"314","2021-01-06 13:00:00","PM10","1153077000","0"
"315","2021-01-06 13:00:00","PM10","1153078000","0"
"316","2021-01-06 13:00:00","PM10","1153079000","0"
"317","2021-01-06 13:00:00","PM10","1153080000","0"
"318","2021-01-06 13:00:00","PM10","1156000000","22"
"319","2021-01-06 13:00:00","PM10","1156051500","22"
"320","2021-01-06 13:00:00","PM10","1156053500","22"
"321","2021-01-06 13:00:00","PM10","1156054000","22"
"322","2021-01-06 13:00:00","PM10","1156055000","22"
"323","2021-01-06 13:00:00","PM10","1156056000","22"
"324","2021-01-06 13:00:00","PM10","1156058500","22"
"325","2021-01-06 13:00:00","PM10","1156060500","22"
"326","2021-01-06 13:00:00","PM10","1156061000","22"
"327","2021-01-06 13:00:00","PM10","1156062000","22"
"328","2021-01-06 13:00:00","PM10","1156063000","22"
"329","2021-01-06 13:00:00","PM10","1156065000","22"
"330","2021-01-06 13:00:00","PM10","1156066000","22"
"331","2021-01-06 13:00:00","PM10","1156067000","22"
"332","2021-01-06 13:00:00","PM10","1156068000","22"
"333","2021-01-06 13:00:00","PM10","1156069000","22"
"334","2021-01-06 13:00:00","PM10","1156070000","22"
"335","2021-01-06 13:00:00","PM10","1156071000","22"
"336","2021-01-06 13:00:00","PM10","1156072000","22"
"337","2021-01-06 13:00:00","PM10","1159000000","24"
"338","2021-01-06 13:00:00","PM10","1159051000","24"
"339","2021-01-06 13:00:00","PM10","1159052000","24"
"340","2021-01-06 13:00:00","PM10","1159053000","24"
"341","2021-01-06 13:00:00","PM10","1159054000","24"
"342","2021-01-06 13:00:00","PM10","1159055000","24"
