"IDX","IDX_DATETIME","DATA_GUBUN","LOCATION","GATHER_INFO","VALUE_1","VALUE_2","VALUE_3"
"184","2021-01-06 13:00:00","T,H","1129076000",,"22","-3","0"
"185","2021-01-06 13:00:00","T,H","1129077000",,"22","-3","0"
"186","2021-01-06 13:00:00","T,H","1129078000",,"22","-3","0"
"187","2021-01-06 13:00:00","T,H","1129081000",,"22","-3","0"
"188","2021-01-06 13:00:00","T,H","1130500000",,"22","-3","0"
"189","2021-01-06 13:00:00","T,H","1130553400",,"22","-3","0"
"190","2021-01-06 13:00:00","T,H","1130553500",,"22","-3","0"
"191","2021-01-06 13:00:00","T,H","1130554500",,"22","-3","0"
"192","2021-01-06 13:00:00","T,H","1130555500",,"22","-3","0"
"193","2021-01-06 13:00:00","T,H","1130557500",,"22","-3","0"
"194","2021-01-06 13:00:00","T,H","1130559500",,"22","-3","0"
"195","2021-01-06 13:00:00","T,H","1130560300",,"22","-3","0"
"196","2021-01-06 13:00:00","T,H","1130560800",,"22","-3","0"
"197","2021-01-06 13:00:00","T,H","1130562500",,"22","-3","0"
"198","2021-01-06 13:00:00","T,H","1130563500",,"22","-3","0"
"199","2021-01-06 13:00:00","T,H","1132051100",,"22","-3","0"
"200","2021-01-06 13:00:00","T,H","1132051200",,"22","-3","0"
"201","2021-01-06 13:00:00","T,H","1132051300",,"22","-3","0"
"202","2021-01-06 13:00:00","T,H","1132066000",,"22","-3","0"
"203","2021-01-06 13:00:00","T,H","1132068000",,"22","-3","0"
"204","2021-01-06 13:00:00","T,H","1135056000",,"22","-3","0"
"205","2021-01-06 13:00:00","T,H","1135057000",,"22","-3","0"
"206","2021-01-06 13:00:00","T,H","1135058000",,"22","-3","0"
"207","2021-01-06 13:00:00","T,H","1135059500",,"22","-3","0"
"208","2021-01-06 13:00:00","T,H","1135061100",,"22","-3","0"
"209","2021-01-06 13:00:00","T,H","1135061200",,"22","-3","0"
"210","2021-01-06 13:00:00","T,H","1135062500",,"22","-3","0"
"211","2021-01-06 13:00:00","T,H","1132000000",,"28","-1","0"
"212","2021-01-06 13:00:00","T,H","1132051400",,"28","-1","0"
"213","2021-01-06 13:00:00","T,H","1132051500",,"28","-1","0"
"214","2021-01-06 13:00:00","T,H","1132052100",,"28","-1","0"
"215","2021-01-06 13:00:00","T,H","1132052200",,"28","-1","0"
"216","2021-01-06 13:00:00","T,H","1132067000",,"28","-1","0"
"217","2021-01-06 13:00:00","T,H","1132068100",,"28","-1","0"
"218","2021-01-06 13:00:00","T,H","1132069000",,"28","-1","0"
"219","2021-01-06 13:00:00","T,H","1132070000",,"28","-1","0"
"220","2021-01-06 13:00:00","T,H","1132071000",,"28","-1","0"
"221","2021-01-06 13:00:00","T,H","1135000000",,"28","-1","0"
"222","2021-01-06 13:00:00","T,H","1135063000",,"28","-1","0"
"223","2021-01-06 13:00:00","T,H","1135064000",,"28","-1","0"
"224","2021-01-06 13:00:00","T,H","1135066500",,"28","-1","0"
"225","2021-01-06 13:00:00","T,H","1135067000",,"28","-1","0"
"226","2021-01-06 13:00:00","T,H","1135069500",,"28","-1","0"
"227","2021-01-06 13:00:00","T,H","1135070000",,"28","-1","0"
"228","2021-01-06 13:00:00","T,H","1135071000",,"28","-1","0"
"229","2021-01-06 13:00:00","T,H","1135072000",,"28","-1","0"
"230","2021-01-06 13:00:00","T,H","1135062100",,"25","-3","0"
"231","2021-01-06 13:00:00","T,H","1135062400",,"25","-3","0"
"232","2021-01-06 13:00:00","T,H","4136031000",,"25","-3","0"
"233","2021-01-06 13:00:00","T,H","1138000000",,"26","-5","0"
"234","2021-01-06 13:00:00","T,H","1138051000",,"26","-5","0"
"235","2021-01-06 13:00:00","T,H","1138058000",,"26","-5","0"
"236","2021-01-06 13:00:00","T,H","1138059000",,"26","-5","0"
"237","2021-01-06 13:00:00","T,H","1138060000",,"26","-5","0"
"238","2021-01-06 13:00:00","T,H","1138062500",,"26","-5","0"
"239","2021-01-06 13:00:00","T,H","1138063100",,"26","-5","0"
"240","2021-01-06 13:00:00","T,H","1138063200",,"26","-5","0"
"241","2021-01-06 13:00:00","T,H","1138064000",,"26","-5","0"
"242","2021-01-06 13:00:00","T,H","1141000000",,"26","-5","0"
"243","2021-01-06 13:00:00","T,H","1141056500",,"26","-5","0"
"244","2021-01-06 13:00:00","T,H","1141061500",,"26","-5","0"
"245","2021-01-06 13:00:00","T,H","1141062000",,"26","-5","0"
"246","2021-01-06 13:00:00","T,H","1141064000",,"26","-5","0"
"247","2021-01-06 13:00:00","T,H","1141065500",,"26","-5","0"
"248","2021-01-06 13:00:00","T,H","1141066000",,"26","-5","0"
"249","2021-01-06 13:00:00","T,H","1141068500",,"26","-5","0"
"250","2021-01-06 13:00:00","T,H","1141069000",,"26","-5","0"
"251","2021-01-06 13:00:00","T,H","1141070000",,"26","-5","0"
"252","2021-01-06 13:00:00","T,H","1141071000",,"26","-5","0"
"253","2021-01-06 13:00:00","T,H","1141072000",,"26","-5","0"
"254","2021-01-06 13:00:00","T,H","1144000000",,"26","-5","0"
"255","2021-01-06 13:00:00","T,H","1144071000",,"26","-5","0"
"256","2021-01-06 13:00:00","T,H","1144072000",,"26","-5","0"
"257","2021-01-06 13:00:00","T,H","1144073000",,"26","-5","0"
"258","2021-01-06 13:00:00","T,H","1138052000",,"23","-5","0"
"259","2021-01-06 13:00:00","T,H","1138053000",,"23","-5","0"
"260","2021-01-06 13:00:00","T,H","1138055100",,"23","-5","0"
